Date,Time(seconds),Detector Id,Flow,Occupancy,Density
10/26/2015,79200,K3D20,440,0.052777778,8.796296333
10/26/2015,79380,K3D20,500,0.057222221,9.537036833
10/26/2015,79560,K3D20,460,0.051666666,8.611111
10/26/2015,79740,K3D20,420,0.049444444,8.240740667
10/26/2015,79920,K3D20,460,0.056111112,9.351852
10/26/2015,80100,K3D20,440,0.05111111,8.518518333
10/26/2015,80280,K3D20,420,0.050000001,8.3333335
10/26/2015,80460,K3D20,400,0.044444446,7.407407667
10/26/2015,80640,K3D20,340,0.035,5.833333333
10/26/2015,80820,K3D20,480,0.071111113,11.85185217
10/26/2015,81000,K3D20,480,0.061111111,10.18518517
10/26/2015,81180,K3D20,360,0.039444443,6.574073833
10/26/2015,81360,K3D20,400,0.046666667,7.777777833
10/26/2015,81540,K3D20,440,0.056111112,9.351852
10/26/2015,81720,K3D20,320,0.033888888,5.648148
10/26/2015,81900,K3D20,440,0.050000001,8.3333335
10/26/2015,82080,K3D20,360,0.040555555,6.759259167
10/26/2015,82260,K3D20,200,0.02111111,3.518518333
10/26/2015,82440,K3D20,220,0.021666666,3.611111
10/26/2015,82620,K3D20,220,0.02388889,3.981481667
10/26/2015,82800,K3D20,220,0.024444444,4.074074
10/26/2015,82980,K3D20,180,0.02,3.333333333
10/26/2015,83160,K3D20,240,0.031666666,5.277777667
10/26/2015,83340,K3D20,320,0.039444443,6.574073833
10/26/2015,83520,K3D20,320,0.037777778,6.296296333
10/26/2015,83700,K3D20,360,0.05111111,8.518518333
10/26/2015,83880,K3D20,560,0.088888891,14.81481517
10/26/2015,84060,K3D20,300,0.039999999,6.6666665
10/26/2015,84240,K3D20,380,0.04222222,7.037036667
10/26/2015,84420,K3D20,220,0.024444444,4.074074
10/26/2015,84600,K3D20,120,0.011666667,1.9444445
10/26/2015,84780,K3D20,100,0.012222222,2.037037
10/26/2015,84960,K3D20,200,0.02111111,3.518518333
10/26/2015,85140,K3D20,220,0.025555555,4.259259167
10/26/2015,85320,K3D20,180,0.018888889,3.148148167
10/26/2015,85500,K3D20,120,0.013888889,2.314814833
10/26/2015,85680,K3D20,200,0.025,4.166666667
10/26/2015,85860,K3D20,300,0.035555556,5.925926
10/26/2015,86040,K3D20,160,0.017777778,2.962963
10/26/2015,86220,K3D20,240,0.032222223,5.3703705
